?SNDlib native format; type: network; version: 1.0
# network demandMatrix-5min-20040426-1415-abilene

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20040426-1415
  unit  = MBITPERSEC
  origin  = Yin Zhang, http://userweb.cs.utexas.edu/~yzhang/research/AbileneTM/
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  ATLAM5 ( -84.3833 33.75 )
  ATLAng ( -85.50 34.50 )
  CHINng ( -87.6167 41.8333 )
  DNVRng ( -105.00 40.75 )
  HSTNng ( -95.517364 29.770031 )
  IPLSng ( -86.159535 39.780622 )
  KSCYng ( -96.596704 38.961694 )
  LOSAng ( -118.25 34.05 )
  NYCMng ( -73.9667 40.7833 )
  SNVAng ( -122.02553 37.38575 )
  STTLng ( -122.30 47.60 )
  WASHng ( -77.026842 38.897303 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  IPLSng_WASHng ( IPLSng WASHng ) 1 59.879701 UNLIMITED
  KSCYng_ATLAng ( KSCYng ATLAng ) 1 9.006429 UNLIMITED
  KSCYng_CHINng ( KSCYng CHINng ) 1 37.576139 UNLIMITED
  KSCYng_DNVRng ( KSCYng DNVRng ) 1 4.020373 UNLIMITED
  KSCYng_HSTNng ( KSCYng HSTNng ) 1 15.161917 UNLIMITED
  KSCYng_IPLSng ( KSCYng IPLSng ) 1 29.239501 UNLIMITED
  KSCYng_NYCMng ( KSCYng NYCMng ) 1 11.49632 UNLIMITED
  KSCYng_SNVAng ( KSCYng SNVAng ) 1 0.026667 UNLIMITED
  KSCYng_STTLng ( KSCYng STTLng ) 1 0.133333 UNLIMITED
  KSCYng_WASHng ( KSCYng WASHng ) 1 20.566757 UNLIMITED
  LOSAng_ATLAng ( LOSAng ATLAng ) 1 39.010845 UNLIMITED
  LOSAng_CHINng ( LOSAng CHINng ) 1 15.423723 UNLIMITED
  LOSAng_DNVRng ( LOSAng DNVRng ) 1 11.934363 UNLIMITED
  LOSAng_HSTNng ( LOSAng HSTNng ) 1 237.271771 UNLIMITED
  LOSAng_IPLSng ( LOSAng IPLSng ) 1 0.837979 UNLIMITED
  LOSAng_KSCYng ( LOSAng KSCYng ) 1 0.588629 UNLIMITED
  LOSAng_NYCMng ( LOSAng NYCMng ) 1 93.273589 UNLIMITED
  LOSAng_SNVAng ( LOSAng SNVAng ) 1 12.36064 UNLIMITED
  LOSAng_STTLng ( LOSAng STTLng ) 1 19.517656 UNLIMITED
  LOSAng_WASHng ( LOSAng WASHng ) 1 107.960429 UNLIMITED
  NYCMng_ATLAng ( NYCMng ATLAng ) 1 56.249389 UNLIMITED
  NYCMng_CHINng ( NYCMng CHINng ) 1 119.705 UNLIMITED
  NYCMng_DNVRng ( NYCMng DNVRng ) 1 36.161264 UNLIMITED
  NYCMng_HSTNng ( NYCMng HSTNng ) 1 177.176235 UNLIMITED
  NYCMng_IPLSng ( NYCMng IPLSng ) 1 59.996949 UNLIMITED
  NYCMng_KSCYng ( NYCMng KSCYng ) 1 29.862792 UNLIMITED
  NYCMng_LOSAng ( NYCMng LOSAng ) 1 0.026667 UNLIMITED
  NYCMng_SNVAng ( NYCMng SNVAng ) 1 0.070232 UNLIMITED
  NYCMng_STTLng ( NYCMng STTLng ) 1 1.916979 UNLIMITED
  NYCMng_WASHng ( NYCMng WASHng ) 1 156.358336 UNLIMITED
  SNVAng_ATLAng ( SNVAng ATLAng ) 1 1.208528 UNLIMITED
  SNVAng_CHINng ( SNVAng CHINng ) 1 0.674525 UNLIMITED
  SNVAng_DNVRng ( SNVAng DNVRng ) 1 6.370096 UNLIMITED
  SNVAng_HSTNng ( SNVAng HSTNng ) 1 28.978003 UNLIMITED
  SNVAng_IPLSng ( SNVAng IPLSng ) 1 0.03964 UNLIMITED
  SNVAng_KSCYng ( SNVAng KSCYng ) 1 0.618027 UNLIMITED
  SNVAng_LOSAng ( SNVAng LOSAng ) 1 44.690811 UNLIMITED
  SNVAng_NYCMng ( SNVAng NYCMng ) 1 1.438016 UNLIMITED
  SNVAng_STTLng ( SNVAng STTLng ) 1 42.550456 UNLIMITED
  SNVAng_WASHng ( SNVAng WASHng ) 1 0.550331 UNLIMITED
  STTLng_ATLAng ( STTLng ATLAng ) 1 18.949363 UNLIMITED
  STTLng_CHINng ( STTLng CHINng ) 1 3.948659 UNLIMITED
  STTLng_DNVRng ( STTLng DNVRng ) 1 4.942245 UNLIMITED
  STTLng_HSTNng ( STTLng HSTNng ) 1 48.464509 UNLIMITED
  STTLng_IPLSng ( STTLng IPLSng ) 1 0.410843 UNLIMITED
  STTLng_KSCYng ( STTLng KSCYng ) 1 4.131323 UNLIMITED
  STTLng_LOSAng ( STTLng LOSAng ) 1 22.27944 UNLIMITED
  STTLng_NYCMng ( STTLng NYCMng ) 1 9.761392 UNLIMITED
  STTLng_SNVAng ( STTLng SNVAng ) 1 19.681821 UNLIMITED
  STTLng_WASHng ( STTLng WASHng ) 1 17.572923 UNLIMITED
  WASHng_ATLAng ( WASHng ATLAng ) 1 102.065491 UNLIMITED
  WASHng_CHINng ( WASHng CHINng ) 1 124.8332 UNLIMITED
  WASHng_DNVRng ( WASHng DNVRng ) 1 9.599237 UNLIMITED
  WASHng_HSTNng ( WASHng HSTNng ) 1 237.49256 UNLIMITED
  WASHng_IPLSng ( WASHng IPLSng ) 1 47.437789 UNLIMITED
  WASHng_KSCYng ( WASHng KSCYng ) 1 23.014104 UNLIMITED
  WASHng_LOSAng ( WASHng LOSAng ) 1 0.147691 UNLIMITED
  WASHng_NYCMng ( WASHng NYCMng ) 1 203.569648 UNLIMITED
  WASHng_SNVAng ( WASHng SNVAng ) 1 0.062741 UNLIMITED
  WASHng_STTLng ( WASHng STTLng ) 1 4.163595 UNLIMITED
)

# ADMISSIBLE PATHS SECTION
#
# <demand_id> ( {<path_id> ( <link_id>+ )}+ )

ADMISSIBLE_PATHS ( 
)
